Provincias;Existe o no separación previa;Periodo;Total
11 Cádiz;Si;2018;209
11 Cádiz;Si;2017;211
11 Cádiz;Si;2016;186
11 Cádiz;Si;2015;244
11 Cádiz;Si;2014;239
11 Cádiz;Si;2013;277
11 Cádiz;No;2019;2.200
11 Cádiz;No;2018;2.282
11 Cádiz;No;2017;2.195
11 Cádiz;No;2016;2.090
11 Cádiz;No;2015;2.111
11 Cádiz;No;2014;2.247
11 Cádiz;No;2013;2.082
39 Cantabria;Si;2019;115
39 Cantabria;Si;2018;99
39 Cantabria;Si;2017;110
39 Cantabria;Si;2016;127
39 Cantabria;Si;2015;145
39 Cantabria;Si;2014;150
39 Cantabria;Si;2013;133
39 Cantabria;No;2019;1.063
39 Cantabria;No;2018;1.082
39 Cantabria;No;2017;1.161
39 Cantabria;No;2016;1.047
39 Cantabria;No;2015;1.155
39 Cantabria;No;2014;1.085
39 Cantabria;No;2013;1.013
12 Castellón/Castelló;Si;2019;113
12 Castellón/Castelló;Si;2018;111
12 Castellón/Castelló;Si;2017;120
12 Castellón/Castelló;Si;2016;108
12 Castellón/Castelló;Si;2015;98
12 Castellón/Castelló;Si;2014;110
12 Castellón/Castelló;Si;2013;114
12 Castellón/Castelló;No;2019;1.193
12 Castellón/Castelló;No;2018;1.257
12 Castellón/Castelló;No;2017;1.038
12 Castellón/Castelló;No;2016;1.294
12 Castellón/Castelló;No;2015;986
12 Castellón/Castelló;No;2014;1.160
12 Castellón/Castelló;No;2013;983
13 Ciudad Real;Si;2019;75
13 Ciudad Real;Si;2018;77
13 Ciudad Real;Si;2017;79
13 Ciudad Real;Si;2016;81
13 Ciudad Real;Si;2015;111
13 Ciudad Real;Si;2014;71
13 Ciudad Real;Si;2013;118
13 Ciudad Real;No;2019;752
13 Ciudad Real;No;2018;739
13 Ciudad Real;No;2017;813
13 Ciudad Real;No;2016;733
13 Ciudad Real;No;2015;806
13 Ciudad Real;No;2014;811
13 Ciudad Real;No;2013;764
14 Córdoba;Si;2019;97
14 Córdoba;Si;2018;78
14 Córdoba;Si;2017;89
14 Córdoba;Si;2016;110
14 Córdoba;Si;2015;110
14 Córdoba;Si;2014;128
14 Córdoba;Si;2013;128
14 Córdoba;No;2019;1.272
14 Córdoba;No;2018;1.328
14 Córdoba;No;2017;1.337
14 Córdoba;No;2016;1.363
14 Córdoba;No;2015;1.513
14 Córdoba;No;2014;1.584
14 Córdoba;No;2013;1.325
15 Coruña, A;Si;2019;152
15 Coruña, A;Si;2018;184
15 Coruña, A;Si;2017;188
15 Coruña, A;Si;2016;223
15 Coruña, A;Si;2015;177
15 Coruña, A;Si;2014;230
15 Coruña, A;Si;2013;315
15 Coruña, A;No;2019;1.832
15 Coruña, A;No;2018;2.059
15 Coruña, A;No;2017;2.149
15 Coruña, A;No;2016;2.103
15 Coruña, A;No;2015;2.147
15 Coruña, A;No;2014;2.186
15 Coruña, A;No;2013;2.004
16 Cuenca;Si;2019;13
16 Cuenca;Si;2018;21
16 Cuenca;Si;2017;21
16 Cuenca;Si;2016;24
16 Cuenca;Si;2015;21
16 Cuenca;Si;2014;25
16 Cuenca;Si;2013;27
16 Cuenca;No;2019;253
16 Cuenca;No;2018;247
16 Cuenca;No;2017;244
16 Cuenca;No;2016;262
16 Cuenca;No;2015;344
16 Cuenca;No;2014;291
16 Cuenca;No;2013;304
20 Gipuzkoa;Si;2019;121
20 Gipuzkoa;Si;2018;88
20 Gipuzkoa;Si;2017;106
20 Gipuzkoa;Si;2016;107
20 Gipuzkoa;Si;2015;142
20 Gipuzkoa;Si;2014;168
20 Gipuzkoa;Si;2013;136
20 Gipuzkoa;No;2019;1.093
20 Gipuzkoa;No;2018;1.107
20 Gipuzkoa;No;2017;1.050
20 Gipuzkoa;No;2016;1.051
20 Gipuzkoa;No;2015;1.118
20 Gipuzkoa;No;2014;1.133
20 Gipuzkoa;No;2013;1.006
17 Girona;Si;2019;99
17 Girona;Si;2018;112
17 Girona;Si;2017;99
17 Girona;Si;2016;166
17 Girona;Si;2015;151
17 Girona;Si;2014;128
17 Girona;Si;2013;186
17 Girona;No;2019;1.431
17 Girona;No;2018;1.481
17 Girona;No;2017;1.570
17 Girona;No;2016;1.394
17 Girona;No;2015;1.495
17 Girona;No;2014;1.445
17 Girona;No;2013;1.463
18 Granada;Si;2019;103
18 Granada;Si;2018;117
18 Granada;Si;2017;141
18 Granada;Si;2016;127
18 Granada;Si;2015;139
18 Granada;Si;2014;150
18 Granada;Si;2013;222
18 Granada;No;2019;1.532
18 Granada;No;2018;1.567
18 Granada;No;2017;1.850
